Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1600179,41723,Female,Loyal Customer,23,Business travel,Business,359,3,3,3,3,5,4,1,4,5,4,4,3,5,5,0,0.0,satisfied
9490151,11085,Male,Loyal Customer,29,Business travel,Business,388,4,4,5,1,4,2,2,2,1,3,3,2,1,4,92,82.0,neutral or dissatisfied
12199276,6401,Male,disloyal Customer,33,Business travel,Eco,408,2,2,2,1,1,2,1,1,3,3,5,5,4,1,3,0.0,neutral or dissatisfied
16696315,35610,Male,disloyal Customer,48,Business travel,Eco,1026,2,2,2,4,4,2,3,2,2,1,2,2,2,4,85,41.0,neutral or dissatisfied
9074641,20102,Female,Loyal Customer,21,Personal Travel,Eco,343,1,5,0,3,4,5,3,5,3,2,5,2,3,5,67,66.0,neutral or dissatisfied
7736216,48984,Female,Loyal Customer,59,Personal Travel,Business,1067,2,2,3,2,5,5,5,5,4,5,4,1,4,3,63,28.0,satisfied
14754164,31764,Male,disloyal Customer,10,Business travel,Business,743,1,1,1,1,5,4,5,5,3,2,5,5,5,5,0,0.0,satisfied
15784075,92373,Female,Loyal Customer,45,Business travel,Business,364,2,5,2,3,3,2,4,2,4,4,5,3,4,3,0,16.0,neutral or dissatisfied
2518960,24434,Male,disloyal Customer,47,Business travel,Eco Plus,774,1,5,1,1,3,2,2,2,5,3,4,4,5,2,35,14.0,neutral or dissatisfied
4887730,3900,Male,Loyal Customer,25,Business travel,Business,1589,5,5,5,5,5,2,1,5,1,2,4,1,3,5,34,29.0,satisfied
8119983,124965,Female,Loyal Customer,47,Business travel,Business,2223,4,1,1,3,3,4,4,3,4,5,5,3,5,4,17,0.0,satisfied
9049563,108376,Female,Loyal Customer,56,Business travel,Business,3034,4,2,5,5,2,4,3,5,1,2,1,3,1,2,19,6.0,satisfied
4630479,121278,Female,disloyal Customer,44,Business travel,Business,322,1,0,1,4,4,1,5,4,4,4,4,3,4,4,0,5.0,satisfied
1903400,117631,Male,Loyal Customer,20,Personal Travel,Eco,1024,2,4,2,2,1,2,1,1,1,2,5,2,4,1,101,49.0,neutral or dissatisfied
8082507,109405,Female,Loyal Customer,44,Business travel,Eco Plus,440,1,1,1,1,2,1,2,3,1,4,3,2,3,3,0,0.0,neutral or dissatisfied
1209624,82579,Female,Loyal Customer,26,Personal Travel,Eco,312,2,5,2,2,2,2,2,2,3,2,2,4,4,4,84,97.0,neutral or dissatisfied
5979252,8187,Female,disloyal Customer,29,Business travel,Business,704,2,4,4,4,3,1,3,1,1,3,1,1,1,1,0,0.0,neutral or dissatisfied
12384914,100673,Male,Loyal Customer,33,Business travel,Business,1607,4,4,4,5,5,4,5,5,5,5,5,1,5,5,19,10.0,satisfied
8593557,93502,Female,Loyal Customer,22,Personal Travel,Eco Plus,233,2,5,2,4,2,4,5,2,4,4,4,3,4,5,22,69.0,neutral or dissatisfied
12926681,125774,Male,Loyal Customer,45,Business travel,Business,2591,1,4,4,3,2,4,5,1,1,1,1,3,1,3,16,9.0,satisfied
3151668,121371,Male,Loyal Customer,7,Personal Travel,Eco,1217,3,4,3,3,2,2,4,5,3,5,5,3,5,5,9,25.0,neutral or dissatisfied
3220580,20187,Male,disloyal Customer,29,Business travel,Eco,38,1,1,1,3,4,1,1,5,4,1,4,2,4,1,0,0.0,neutral or dissatisfied
14671021,19113,Male,Loyal Customer,30,Business travel,Business,838,2,2,2,2,2,2,2,4,4,4,4,3,4,4,4,0.0,satisfied
8847998,4940,Female,disloyal Customer,31,Business travel,Business,2289,2,2,2,3,2,2,2,3,1,3,4,4,3,2,10,34.0,neutral or dissatisfied
15493633,88018,Male,Loyal Customer,38,Business travel,Business,1337,1,5,0,5,3,4,3,0,4,5,4,3,2,3,0,0.0,satisfied
15840117,98359,Female,Loyal Customer,50,Personal Travel,Eco,379,2,4,4,2,2,2,2,2,2,4,4,1,4,2,0,0.0,neutral or dissatisfied
4748535,9130,Female,Loyal Customer,58,Business travel,Business,2210,3,3,3,3,2,5,5,4,4,4,4,5,4,3,4,0.0,satisfied
10044957,98945,Female,Loyal Customer,62,Business travel,Business,341,1,2,2,3,3,5,3,3,3,5,1,4,3,3,12,6.0,neutral or dissatisfied
10930269,40403,Male,Loyal Customer,62,Business travel,Business,2112,2,4,4,2,2,5,2,2,4,4,4,3,4,2,164,126.0,neutral or dissatisfied
3740401,78727,Female,disloyal Customer,28,Business travel,Business,911,3,3,3,3,4,3,2,2,1,3,3,3,4,4,18,0.0,neutral or dissatisfied
6298953,74979,Female,Loyal Customer,55,Business travel,Eco Plus,273,2,2,2,2,2,2,2,2,1,4,4,4,4,2,0,11.0,neutral or dissatisfied
11205119,62586,Female,Loyal Customer,25,Business travel,Business,561,3,5,5,5,4,4,3,3,3,2,3,4,3,4,0,0.0,neutral or dissatisfied
4174213,118927,Male,Loyal Customer,14,Business travel,Business,1137,3,1,3,3,5,5,5,5,3,5,3,5,3,5,50,39.0,neutral or dissatisfied
14923233,30059,Male,disloyal Customer,26,Business travel,Eco Plus,249,3,3,3,3,1,3,1,1,1,2,2,2,2,1,0,0.0,neutral or dissatisfied
9941595,6070,Male,Loyal Customer,32,Business travel,Business,3591,1,1,1,1,5,4,5,5,3,4,4,4,4,5,16,4.0,satisfied
2089765,121047,Female,Loyal Customer,58,Personal Travel,Eco Plus,470,3,1,3,3,2,3,3,3,2,1,3,2,2,3,14,13.0,neutral or dissatisfied
12695047,7213,Female,Loyal Customer,48,Personal Travel,Eco,850,4,4,4,2,2,2,2,2,1,5,3,3,4,2,9,0.0,neutral or dissatisfied
400264,70904,Female,disloyal Customer,41,Business travel,Business,2512,1,3,1,3,1,1,1,1,3,5,4,5,4,1,4,4.0,neutral or dissatisfied
663717,91926,Female,Loyal Customer,52,Personal Travel,Business,672,4,1,2,5,2,5,5,2,5,2,5,5,5,5,0,13.0,satisfied
3784513,85989,Female,Loyal Customer,52,Personal Travel,Eco,1334,1,1,1,1,5,1,5,5,5,5,5,4,5,5,0,0.0,neutral or dissatisfied
3858494,38377,Female,Loyal Customer,53,Business travel,Business,2652,2,4,4,1,4,4,4,2,2,5,2,4,2,4,69,19.0,satisfied
11945692,123049,Male,disloyal Customer,20,Personal Travel,Eco,302,1,4,2,4,4,1,2,4,4,4,4,3,4,4,0,0.0,neutral or dissatisfied
10692413,68405,Female,disloyal Customer,27,Business travel,Business,3687,2,1,3,3,2,2,2,2,3,3,3,3,3,2,80,94.0,neutral or dissatisfied
12459791,50417,Male,Loyal Customer,44,Business travel,Business,1815,1,3,3,3,4,3,4,4,4,1,2,3,3,4,10,18.0,neutral or dissatisfied
2563514,44130,Female,disloyal Customer,33,Business travel,Business,190,2,1,1,1,5,2,5,2,3,2,2,3,2,5,0,0.0,neutral or dissatisfied
3459716,87217,Male,disloyal Customer,32,Business travel,Business,190,1,1,1,1,5,2,3,3,4,4,3,4,4,3,0,5.0,neutral or dissatisfied
13289431,64518,Male,Loyal Customer,25,Personal Travel,Eco,557,3,0,3,3,5,3,5,5,4,1,1,5,1,5,0,0.0,neutral or dissatisfied
2425370,97377,Female,Loyal Customer,57,Business travel,Business,1394,3,1,3,1,3,3,3,3,4,1,4,5,5,3,0,0.0,neutral or dissatisfied
8418182,129918,Female,Loyal Customer,19,Business travel,Business,1268,4,4,4,3,3,4,5,5,5,5,5,3,5,5,5,9.0,satisfied
8222699,115042,Male,Loyal Customer,17,Business travel,Business,579,4,4,4,2,5,5,5,5,3,3,4,0,4,5,47,99.0,neutral or dissatisfied
6816357,99731,Female,Loyal Customer,58,Business travel,Business,658,5,5,5,5,3,5,3,3,3,3,3,3,3,3,14,31.0,satisfied
2351881,10745,Male,Loyal Customer,60,Business travel,Business,3412,5,5,5,2,2,4,4,4,4,4,5,5,5,4,2,10.0,satisfied
6137383,41514,Male,disloyal Customer,22,Business travel,Eco,1238,1,1,1,3,5,3,5,5,5,2,3,3,2,5,4,9.0,neutral or dissatisfied
15896660,4524,Male,Loyal Customer,57,Business travel,Business,75,5,3,5,3,4,5,1,4,3,4,4,4,3,4,0,0.0,satisfied
12329634,90923,Male,Loyal Customer,27,Business travel,Business,3150,0,4,0,4,3,0,2,5,4,4,4,4,3,5,3,3.0,satisfied
6572978,96763,Female,Loyal Customer,24,Business travel,Business,1484,5,5,5,5,3,4,3,3,4,5,4,4,3,3,0,0.0,satisfied
8898238,86358,Male,disloyal Customer,13,Business travel,Business,489,3,0,3,3,2,3,5,5,3,4,5,3,5,2,0,3.0,neutral or dissatisfied
9268498,60241,Male,Loyal Customer,7,Personal Travel,Eco Plus,204,4,5,3,3,4,4,4,1,1,5,1,3,4,5,10,11.0,neutral or dissatisfied
5924842,124629,Female,Loyal Customer,50,Personal Travel,Eco,245,5,5,5,5,4,5,1,4,4,1,5,4,5,4,0,0.0,satisfied
4778088,57576,Female,Loyal Customer,16,Business travel,Business,224,4,3,4,5,4,4,4,4,4,4,4,4,5,4,8,2.0,satisfied
12698813,97554,Male,disloyal Customer,21,Business travel,Eco,574,3,5,3,3,3,3,3,3,3,5,4,4,3,3,0,0.0,neutral or dissatisfied
8005902,92406,Male,disloyal Customer,14,Business travel,Eco,312,3,1,3,1,4,3,5,4,4,4,4,3,4,4,0,16.0,neutral or dissatisfied
12493965,58623,Female,Loyal Customer,49,Business travel,Business,2178,5,5,0,5,4,5,4,4,5,0,2,3,1,4,13,0.0,satisfied
11711443,45510,Female,Loyal Customer,47,Personal Travel,Eco,246,2,5,2,3,1,2,1,1,1,5,4,4,4,1,0,0.0,neutral or dissatisfied
9587405,41956,Male,disloyal Customer,21,Business travel,Eco,1328,1,1,1,4,1,1,1,1,1,1,3,1,4,4,96,271.0,neutral or dissatisfied
3977661,106098,Male,disloyal Customer,18,Business travel,Business,146,4,4,4,4,2,5,5,4,4,4,4,3,4,5,0,13.0,satisfied
2271690,102566,Female,disloyal Customer,24,Business travel,Business,383,3,3,3,4,1,3,1,1,1,1,5,2,4,2,0,0.0,neutral or dissatisfied
13431412,14397,Female,Loyal Customer,19,Personal Travel,Eco,157,4,5,4,5,3,4,2,2,3,3,3,3,4,4,0,0.0,neutral or dissatisfied
9231559,100955,Male,Loyal Customer,31,Business travel,Business,675,3,4,4,3,5,4,5,5,3,3,3,5,3,5,3,7.0,satisfied
5851694,11043,Male,disloyal Customer,59,Business travel,Eco Plus,356,4,2,2,3,5,2,5,5,3,4,3,4,4,5,88,73.0,neutral or dissatisfied
12986159,8878,Female,disloyal Customer,23,Business travel,Eco Plus,425,0,0,1,1,1,3,1,1,1,2,5,3,4,1,0,0.0,neutral or dissatisfied
4326547,78052,Male,Loyal Customer,53,Business travel,Business,2393,1,1,1,5,3,2,4,3,3,4,3,4,3,4,17,0.0,neutral or dissatisfied
1505792,61865,Female,Loyal Customer,50,Personal Travel,Eco,879,4,4,0,4,3,4,3,3,1,0,2,1,1,3,0,0.0,satisfied
13960931,83357,Female,Loyal Customer,13,Business travel,Eco,1016,1,1,2,2,3,1,5,4,3,1,4,5,2,4,76,81.0,neutral or dissatisfied
2984052,90893,Female,Loyal Customer,57,Business travel,Business,2753,4,4,4,1,4,4,5,5,5,5,5,4,5,3,8,12.0,satisfied
467943,85797,Male,Loyal Customer,54,Business travel,Business,2259,4,4,4,1,5,4,1,5,5,5,5,5,5,5,0,0.0,satisfied
2455237,24081,Female,Loyal Customer,33,Personal Travel,Eco,1061,4,4,4,1,4,4,5,5,5,2,2,1,5,5,13,34.0,neutral or dissatisfied
7279242,91041,Female,Loyal Customer,52,Personal Travel,Eco Plus,266,3,2,3,2,2,3,2,2,4,3,4,4,4,2,16,0.0,neutral or dissatisfied
2818320,119165,Female,Loyal Customer,45,Business travel,Business,701,2,5,2,5,3,4,3,3,2,2,2,4,2,3,0,0.0,neutral or dissatisfied
3061501,24954,Male,Loyal Customer,37,Business travel,Eco,821,2,3,1,1,2,2,2,2,2,2,2,5,2,2,77,30.0,neutral or dissatisfied
5157993,98040,Female,Loyal Customer,32,Business travel,Business,2366,4,4,4,4,1,4,1,1,3,4,5,5,5,1,0,0.0,satisfied
12599812,94118,Female,Loyal Customer,56,Personal Travel,Eco Plus,122,4,1,1,3,5,4,5,2,4,4,2,4,4,5,0,0.0,satisfied
6821418,88556,Male,Loyal Customer,49,Business travel,Business,276,1,1,1,3,1,4,1,1,1,5,5,5,2,1,0,0.0,neutral or dissatisfied
14195593,18580,Female,Loyal Customer,45,Personal Travel,Eco,309,3,2,3,1,3,3,3,3,4,5,3,3,4,3,0,0.0,neutral or dissatisfied
16230332,85596,Male,disloyal Customer,30,Business travel,Eco Plus,207,1,1,1,3,1,1,1,4,4,1,4,4,4,3,29,14.0,neutral or dissatisfied
6725089,95916,Male,Loyal Customer,33,Personal Travel,Eco,255,4,4,0,4,4,2,5,4,1,1,3,5,1,3,0,0.0,neutral or dissatisfied
1492459,88814,Male,Loyal Customer,52,Business travel,Business,2961,3,3,3,2,2,4,5,3,4,5,3,5,3,3,0,0.0,satisfied
1620143,32216,Female,Loyal Customer,59,Business travel,Eco Plus,296,2,1,1,1,2,2,2,2,2,3,2,4,2,2,0,0.0,neutral or dissatisfied
13713185,38102,Female,Loyal Customer,45,Business travel,Eco Plus,396,5,1,5,3,2,4,2,2,3,5,4,4,3,2,0,2.0,satisfied
16468324,2513,Female,Loyal Customer,37,Business travel,Business,3595,1,3,4,3,4,4,4,4,5,1,3,4,5,4,14,20.0,neutral or dissatisfied
11450586,52626,Female,Loyal Customer,72,Business travel,Business,1958,3,5,4,4,3,3,3,3,3,2,3,4,3,3,4,0.0,neutral or dissatisfied
9027402,43321,Female,Loyal Customer,56,Business travel,Business,442,2,5,5,1,5,2,3,0,0,1,2,4,0,3,14,5.0,neutral or dissatisfied
14034903,109365,Female,disloyal Customer,11,Business travel,Business,491,3,1,1,1,3,5,3,3,3,5,3,4,3,3,13,4.0,neutral or dissatisfied
10250285,98806,Female,disloyal Customer,27,Business travel,Business,1000,4,4,4,1,5,5,5,5,4,4,5,5,4,5,73,15.0,satisfied
901022,86348,Male,Loyal Customer,53,Personal Travel,Eco,425,1,1,1,3,2,1,2,1,1,5,1,3,1,1,2,0.0,neutral or dissatisfied
9316724,113685,Female,disloyal Customer,53,Business travel,Business,1235,3,3,3,3,2,4,4,3,3,1,2,3,3,3,18,16.0,neutral or dissatisfied
4741368,105076,Male,Loyal Customer,43,Business travel,Business,3816,4,3,3,3,5,4,5,5,3,4,5,4,5,5,3,0.0,satisfied
5237786,94094,Male,Loyal Customer,57,Business travel,Business,424,5,2,5,5,5,5,5,4,4,4,5,5,5,4,2,35.0,satisfied
5779918,90638,Female,Loyal Customer,62,Personal Travel,Eco,370,2,2,2,4,3,2,1,4,3,3,4,5,4,4,5,4.0,neutral or dissatisfied
7503677,127446,Male,Loyal Customer,18,Business travel,Business,1243,5,3,5,5,2,5,4,5,2,5,5,3,5,5,0,7.0,satisfied
12748116,11370,Female,Loyal Customer,30,Business travel,Eco Plus,546,2,5,2,2,2,2,2,2,3,3,4,4,5,2,67,92.0,neutral or dissatisfied
1017725,94439,Male,Loyal Customer,22,Personal Travel,Eco,220,0,0,0,1,5,0,1,4,4,1,4,5,4,5,0,0.0,satisfied
13697308,74928,Male,Loyal Customer,30,Business travel,Business,538,3,3,3,3,3,4,5,5,5,5,5,5,5,5,2,0.0,satisfied
4436631,78589,Male,disloyal Customer,27,Business travel,Eco Plus,687,3,4,3,4,3,3,3,3,1,2,4,4,4,3,3,0.0,neutral or dissatisfied
4578818,47135,Male,Loyal Customer,60,Business travel,Business,2120,4,1,4,1,3,4,3,3,3,5,5,5,4,3,0,0.0,satisfied
3072235,55594,Male,Loyal Customer,18,Personal Travel,Business,2225,2,2,2,2,3,4,4,3,5,5,5,3,5,3,8,40.0,satisfied
1606986,73380,Male,disloyal Customer,15,Business travel,Business,1117,5,5,5,5,4,5,5,5,5,5,5,5,5,3,2,0.0,satisfied
15966290,6822,Female,disloyal Customer,60,Business travel,Business,77,2,2,2,2,1,5,4,5,3,3,5,1,5,3,75,9.0,satisfied
9797360,92935,Male,Loyal Customer,51,Business travel,Business,393,4,1,2,1,4,5,4,5,5,5,5,4,5,4,2,0.0,satisfied
11365084,50055,Female,Loyal Customer,20,Business travel,Business,843,4,4,4,4,2,5,3,1,3,3,5,2,3,4,3,0.0,neutral or dissatisfied
5744106,5237,Male,Loyal Customer,60,Business travel,Business,2961,5,5,5,5,4,5,4,5,5,5,5,3,5,4,14,0.0,satisfied
13549569,37384,Male,Loyal Customer,39,Personal Travel,Eco,1112,5,5,1,5,5,4,5,5,2,1,2,5,2,5,32,5.0,neutral or dissatisfied
5210658,122188,Female,Loyal Customer,53,Business travel,Business,481,2,2,2,2,4,2,4,3,1,5,2,4,3,4,0,0.0,neutral or dissatisfied
2024817,82413,Male,disloyal Customer,23,Business travel,Business,409,3,0,3,3,4,4,1,1,3,2,5,3,5,2,101,27.0,neutral or dissatisfied
10290162,86305,Male,Loyal Customer,55,Business travel,Business,1200,4,5,4,3,4,4,4,4,3,3,3,3,3,4,67,91.0,satisfied
1719742,32687,Female,Loyal Customer,37,Business travel,Eco Plus,263,2,5,5,5,3,3,3,3,2,3,4,3,3,4,0,0.0,neutral or dissatisfied
3695709,90042,Female,Loyal Customer,57,Business travel,Business,1811,4,4,4,4,5,4,5,4,4,4,4,4,4,4,18,9.0,satisfied
12557649,-3254,Female,disloyal Customer,41,Business travel,Eco,910,3,1,3,4,2,3,3,2,1,1,3,3,2,4,58,47.0,neutral or dissatisfied
11031422,76611,Female,Loyal Customer,11,Personal Travel,Eco,398,1,5,1,3,2,1,2,2,4,4,4,3,4,2,17,0.0,neutral or dissatisfied
13349542,14759,Female,Loyal Customer,60,Business travel,Eco Plus,2423,4,1,4,4,3,5,3,3,3,4,4,3,4,3,0,2.0,satisfied
7876037,89780,Male,Loyal Customer,49,Personal Travel,Eco,398,4,5,5,5,2,4,4,1,1,2,1,5,1,4,156,29.0,neutral or dissatisfied
11825711,91495,Female,Loyal Customer,15,Business travel,Eco Plus,196,2,5,4,2,2,4,2,2,4,4,4,5,5,2,15,16.0,neutral or dissatisfied
9781445,27597,Female,Loyal Customer,44,Business travel,Eco Plus,605,0,1,0,1,2,0,2,2,2,2,2,3,2,2,11,17.0,satisfied
10123164,105551,Female,Loyal Customer,45,Business travel,Eco Plus,181,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,6.0,satisfied
13081892,125552,Male,Loyal Customer,28,Personal Travel,Eco,1147,1,5,1,1,5,1,5,5,4,2,5,5,5,5,25,10.0,neutral or dissatisfied
3923733,47240,Male,disloyal Customer,33,Business travel,Business,939,3,2,3,3,1,1,1,1,3,3,4,2,3,1,11,13.0,neutral or dissatisfied
9377812,79418,Male,disloyal Customer,35,Business travel,Business,3306,0,2,2,4,5,5,5,1,1,1,1,5,1,4,18,0.0,satisfied
15496677,22340,Male,Loyal Customer,51,Business travel,Eco,146,4,3,5,3,3,5,5,3,5,1,4,4,5,3,80,22.0,satisfied
7660284,42073,Male,Loyal Customer,34,Personal Travel,Eco Plus,83,0,1,0,1,5,0,4,2,4,0,2,5,2,3,0,0.0,satisfied
9853088,22088,Female,Loyal Customer,26,Business travel,Business,1653,4,4,4,4,2,4,5,5,4,4,5,5,5,5,29,15.0,satisfied
11832978,80049,Female,disloyal Customer,39,Business travel,Eco,31,4,1,1,1,3,1,3,3,3,3,3,1,4,4,0,0.0,neutral or dissatisfied
3884859,92679,Male,disloyal Customer,32,Business travel,Eco,283,5,4,5,1,3,5,1,1,1,2,5,5,4,1,33,38.0,satisfied
10446617,42130,Female,Loyal Customer,19,Business travel,Eco,2247,2,5,2,3,4,2,1,4,5,5,4,3,4,4,0,2.0,satisfied
3993665,15900,Male,Loyal Customer,58,Business travel,Eco,256,5,5,5,5,5,4,4,5,3,4,2,4,1,5,10,29.0,satisfied
3663860,95578,Male,Loyal Customer,53,Business travel,Business,3681,5,3,5,3,2,5,4,4,4,4,4,5,5,5,18,18.0,satisfied
14540416,8964,Female,Loyal Customer,57,Business travel,Business,809,5,5,5,5,2,5,2,2,3,2,2,4,5,4,81,75.0,satisfied
15625282,115561,Male,Loyal Customer,37,Business travel,Business,3229,1,1,1,1,2,4,1,1,4,4,5,5,4,3,25,14.0,satisfied
15035889,109371,Male,Loyal Customer,43,Business travel,Business,189,5,4,4,3,2,5,1,5,5,5,5,3,5,3,3,14.0,satisfied
13718612,1192,Female,disloyal Customer,50,Business travel,Eco,1204,2,3,3,3,3,3,3,3,3,3,3,4,4,3,65,44.0,neutral or dissatisfied
2975099,30611,Female,Loyal Customer,27,Personal Travel,Eco,275,2,1,1,1,5,2,1,2,1,1,2,5,3,4,0,0.0,neutral or dissatisfied
10247107,89019,Male,Loyal Customer,7,Personal Travel,Eco,261,1,5,1,1,4,1,5,4,4,5,4,5,4,4,0,0.0,neutral or dissatisfied
16358817,8792,Male,disloyal Customer,19,Personal Travel,Eco,886,2,3,2,3,4,2,4,4,4,4,4,3,3,4,0,0.0,neutral or dissatisfied
14682780,105293,Male,Loyal Customer,38,Business travel,Business,2202,3,3,5,5,3,5,5,3,3,3,4,3,4,3,13,4.0,satisfied
13423230,97416,Female,Loyal Customer,56,Personal Travel,Eco Plus,1088,3,4,3,3,2,5,2,3,3,5,3,4,3,5,0,0.0,neutral or dissatisfied
5813654,50309,Female,Loyal Customer,33,Business travel,Eco Plus,2176,2,1,2,3,3,2,3,0,2,1,2,3,2,3,0,0.0,neutral or dissatisfied
11069849,96742,Male,disloyal Customer,24,Business travel,Eco Plus,244,5,4,5,5,4,4,3,4,4,4,4,2,4,4,13,13.0,satisfied
13520727,95824,Male,Loyal Customer,49,Business travel,Business,3298,1,1,1,3,2,5,5,2,4,3,3,5,4,5,0,11.0,satisfied
8377465,51235,Male,Loyal Customer,60,Business travel,Business,1181,5,5,5,5,2,5,1,1,1,2,1,4,1,1,0,0.0,satisfied
2685850,14906,Female,disloyal Customer,19,Business travel,Business,751,1,2,1,3,1,1,1,1,3,5,4,2,4,1,0,0.0,neutral or dissatisfied
6647053,35484,Male,Loyal Customer,45,Business travel,Eco,1158,4,4,0,3,4,0,3,4,3,4,4,2,3,4,77,92.0,satisfied
6143374,60656,Female,Loyal Customer,44,Business travel,Business,298,2,4,5,5,5,5,4,5,3,5,5,5,5,5,0,0.0,satisfied
866437,31474,Male,Loyal Customer,50,Business travel,Business,2168,5,1,2,1,5,5,5,5,5,5,1,4,1,5,0,5.0,satisfied
4565579,8322,Female,Loyal Customer,46,Business travel,Eco Plus,289,4,4,3,5,5,4,3,4,3,3,4,2,1,4,0,3.0,neutral or dissatisfied
14258525,118663,Male,Loyal Customer,47,Business travel,Business,415,3,5,5,5,3,4,3,3,4,5,4,5,3,3,3,3.0,neutral or dissatisfied
4022450,51036,Male,Loyal Customer,53,Personal Travel,Eco,885,1,4,1,3,4,1,2,2,2,5,1,4,4,4,26,31.0,neutral or dissatisfied
14742350,85245,Female,disloyal Customer,23,Business travel,Business,1008,1,1,1,3,3,5,5,2,1,2,3,3,4,3,68,113.0,neutral or dissatisfied
16591588,94330,Female,Loyal Customer,58,Business travel,Business,159,0,5,0,1,2,0,5,4,4,5,4,5,4,5,11,68.0,satisfied
2469118,100700,Female,disloyal Customer,14,Business travel,Eco Plus,289,2,2,2,3,3,3,4,3,3,1,3,4,3,4,0,0.0,neutral or dissatisfied
10131820,92721,Female,Loyal Customer,37,Business travel,Business,2901,5,5,5,5,2,4,5,4,4,2,4,4,2,4,26,37.0,satisfied
9896390,20633,Female,Loyal Customer,58,Business travel,Eco Plus,260,2,3,3,3,5,2,4,2,2,2,2,2,2,1,5,0.0,neutral or dissatisfied
11466720,96523,Female,Loyal Customer,56,Business travel,Business,258,4,4,4,3,4,4,5,4,4,4,5,5,5,4,8,10.0,satisfied
5907954,84954,Male,Loyal Customer,47,Business travel,Business,3672,4,4,4,1,5,4,5,5,4,4,4,2,4,5,0,0.0,satisfied
14107596,51922,Male,Loyal Customer,41,Personal Travel,Business,1578,1,1,1,1,2,4,4,2,3,2,1,5,2,3,11,0.0,neutral or dissatisfied
5821481,84671,Male,Loyal Customer,26,Business travel,Business,1984,1,5,5,5,2,5,4,4,4,4,4,5,4,3,0,3.0,satisfied
1992825,2548,Male,Loyal Customer,45,Business travel,Business,3259,0,0,3,1,4,4,4,3,4,5,5,4,5,3,0,0.0,satisfied
3823727,47222,Male,Loyal Customer,56,Business travel,Business,210,1,1,1,3,3,4,4,4,4,4,4,4,4,3,0,0.0,satisfied
5549763,58304,Female,Loyal Customer,56,Business travel,Business,929,3,5,3,5,3,3,3,3,3,3,3,3,3,1,13,15.0,neutral or dissatisfied
7564703,-343,Female,Loyal Customer,55,Personal Travel,Eco,1791,1,5,1,2,5,1,5,3,3,4,3,1,3,5,0,0.0,neutral or dissatisfied
5713340,102365,Male,Loyal Customer,17,Business travel,Business,390,1,1,1,1,3,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
13430964,124281,Female,disloyal Customer,56,Business travel,Business,2245,4,4,4,4,3,4,2,1,1,1,1,3,1,3,12,0.0,neutral or dissatisfied
13549732,22612,Female,Loyal Customer,47,Personal Travel,Eco,204,4,1,1,1,5,2,4,5,5,5,5,5,5,5,2,0.0,satisfied
2766623,43806,Male,Loyal Customer,57,Personal Travel,Eco,1033,2,4,2,2,2,2,2,5,5,5,5,3,5,5,2,8.0,neutral or dissatisfied
784970,27617,Male,Loyal Customer,57,Business travel,Business,1512,4,4,4,1,4,4,5,2,2,2,1,5,2,3,12,7.0,satisfied
1941655,67888,Male,disloyal Customer,18,Business travel,Eco,562,1,1,4,5,3,4,3,1,1,1,1,4,1,3,0,0.0,neutral or dissatisfied
9334017,92857,Female,Loyal Customer,50,Business travel,Business,2176,2,5,5,5,4,5,4,2,4,5,5,3,4,3,127,67.0,satisfied
9247519,95179,Female,Loyal Customer,45,Business travel,Business,2500,4,4,5,3,3,5,5,4,4,4,4,4,4,3,0,6.0,satisfied
8529744,31911,Male,Loyal Customer,57,Personal Travel,Eco,1587,4,4,4,4,2,5,2,2,1,3,4,3,4,2,63,82.0,neutral or dissatisfied
13959013,29390,Male,Loyal Customer,33,Business travel,Business,2242,3,2,2,2,5,4,5,5,3,2,5,1,5,5,12,14.0,satisfied
9128331,26255,Female,Loyal Customer,15,Personal Travel,Eco Plus,446,4,1,4,1,4,4,3,5,5,2,5,4,5,3,4,0.0,neutral or dissatisfied
10061880,607,Female,Loyal Customer,58,Business travel,Business,2744,4,4,1,1,3,4,5,5,5,5,5,3,5,3,5,9.0,satisfied
12807251,99202,Female,Loyal Customer,54,Business travel,Business,2098,5,5,3,5,2,5,5,5,3,5,5,3,5,5,12,9.0,satisfied
14342251,87975,Male,Loyal Customer,57,Business travel,Business,246,3,4,3,3,3,3,4,4,4,3,4,4,4,4,166,295.0,neutral or dissatisfied
10967869,35513,Male,Loyal Customer,45,Personal Travel,Eco,234,0,0,0,3,3,0,4,3,3,5,5,3,3,5,0,1.0,satisfied
1149807,87109,Female,Loyal Customer,8,Personal Travel,Eco Plus,384,2,4,2,3,4,2,2,1,4,2,4,4,4,3,0,0.0,neutral or dissatisfied
13008486,6976,Female,Loyal Customer,40,Business travel,Eco,307,2,4,2,4,1,2,1,1,1,2,1,4,2,1,25,17.0,neutral or dissatisfied
5495501,9200,Female,Loyal Customer,21,Personal Travel,Eco Plus,1023,2,4,1,1,4,2,2,4,4,5,5,5,4,3,0,0.0,neutral or dissatisfied
